Car Age,Mileage(thousand miles),Brand,Engine Size,Price(thousand dollars)
3,30,1,1.8,15
5,60,2,2.0,12
2,15,1,1.6,18
4,40,3,2.2,14
1,10,1,1.8,22
6,70,2,2.5,10
3,25,1,1.6,16
7,80,3,2.0,9
8,100,2,2.2,7
2,20,1,1.6,19
4,35,2,1.8,13
5,55,3,2.0,11
1,5,1,1.8,23
9,120,3,2.5,6.5
6,75,2,2.4,9.5
3,20,1,1.7,17
8,110,2,2.1,7.5
4,45,1,1.8,14
7,85,3,2.3,8
5,50,1,2.0,12
3,30,2,1.6,15
2,18,1,1.8,20
9,130,3,2.6,6
6,65,2,2.0,10.5
4,40,1,1.7,14.5
5,57,3,2.2,11
3,25,2,1.8,16
2,15,1,1.9,18.5
7,95,2,2.3,8.5
1,12,1,1.6,22
8,105,3,2.5,7
4,36,2,1.8,13.5
6,70,1,2.0,11.5
3,29,3,2.1,15
2,12,1,1.7,19
5,53,2,2.4,11
9,125,3,2.6,6.2
4,40,1,1.8,14.5
3,27,2,1.9,16
7,92,3,2.2,8.2
6,68,1,2.0,11
8,100,2,2.4,7.4
5,55,3,2.0,10.5
3,24,1,1.6,16.5
9,115,2,2.5,6.7
1,8,1,1.6,22.5
4,42,3,2.0,13
6,73,2,2.3,10
2,15,1,1.8,18.5
